Item,Category,Price,Quantity
Item1,Snacks,42.63,27
Item2,Fruits,49.21,54
Item3,Beverages,30.47,77
Item4,Snacks,19.21,53
Item5,Snacks,24.95,65
Item6,Dairy,15.56,4
Item7,Dairy,3.49,77
Item8,Snacks,27.23,92
Item9,Fruits,35.99,76
Item10,Vegetables,14.47,58
Item11,Snacks,21.75,73
Item12,Dairy,8.34,94
Item13,Dairy,9.57,17
Item14,Fruits,46.31,84
Item15,Fruits,38.68,71
Item16,Beverages,41.76,16
Item17,Meat,18.56,47
Item18,Vegetables,44.43,29
Item19,Snacks,46.45,16
Item20,Snacks,2.9,80
Item21,Vegetables,8.97,69
Item22,Vegetables,42.63,76
Item23,Meat,18.94,99
Item24,Meat,6.79,94
Item25,Beverages,46.7,26
Item26,Fruits,38.15,71
Item27,Beverages,21.42,97
Item28,Snacks,15.53,95
Item29,Fruits,9.89,79
Item30,Vegetables,49.15,68
Item31,Fruits,38.73,74
Item32,Meat,35.33,65
Item33,Meat,7.87,87
Item34,Snacks,25.52,16
Item35,Vegetables,20.94,22
Item36,Meat,18.83,73
Item37,Dairy,26.17,18
Item38,Meat,10.37,51
Item39,Fruits,3.44,10
Item40,Snacks,29.9,28
Item41,Beverages,1.26,29
Item42,Meat,48.6,39
Item43,Meat,49.4,84
Item44,Meat,37.71,54
Item45,Snacks,36.2,87
Item46,Dairy,39.57,30
Item47,Beverages,31.31,82
Item48,Snacks,22.27,38
Item49,Vegetables,23.19,80
Item50,Fruits,45.27,63
Item51,Dairy,43.28,11
Item52,Beverages,48.1,26
Item53,Vegetables,36.81,19
Item54,Meat,12.4,75
Item55,Snacks,25.22,64
Item56,Beverages,2.51,24
Item57,Snacks,12.35,45
Item58,Snacks,38.7,55
Item59,Dairy,11.71,58
Item60,Dairy,40.96,65
Item61,Beverages,49.67,35
Item62,Fruits,24.45,65
Item63,Snacks,5.27,85
Item64,Snacks,5.88,39
Item65,Snacks,46.21,89
Item66,Fruits,44.8,3
Item67,Dairy,24.42,88
Item68,Vegetables,13.21,5
Item69,Fruits,44.55,47
Item70,Fruits,20.34,46
Item71,Dairy,33.34,74
Item72,Vegetables,33.82,24
Item73,Dairy,46.57,59
Item74,Vegetables,46.63,7
Item75,Fruits,6.59,99
Item76,Meat,35.66,12
Item77,Vegetables,23.35,59
Item78,Fruits,44.4,72
Item79,Dairy,40.02,65
Item80,Fruits,22.6,43
Item81,Vegetables,8.92,100
Item82,Snacks,13.84,27
Item83,Dairy,42.82,27
Item84,Beverages,32.83,97
Item85,Meat,5.81,8
Item86,Fruits,23.73,54
Item87,Vegetables,45.81,67
Item88,Beverages,49.03,4
Item89,Fruits,9.84,34
Item90,Snacks,36.87,27
Item91,Meat,15.76,33
Item92,Dairy,0.9,65
Item93,Dairy,5.64,2
Item94,Dairy,33.38,39
Item95,Meat,12.48,73
Item96,Fruits,24.57,10
Item97,Fruits,16.59,46
Item98,Vegetables,45.42,32
Item99,Meat,21.45,64
